,Entity,Code,Year,Fossil fuels (TWh)
0,Africa,,1965,674.3026733398438
1,Africa,,1966,703.2786865234375
2,Africa,,1967,708.9625244140625
3,Africa,,1968,743.4017333984375
4,Africa,,1969,756.0577392578125
5,Africa,,1970,810.0494995117188
6,Africa,,1971,874.9830322265625
7,Africa,,1972,919.5540771484376
8,Africa,,1973,998.1819458007812
9,Africa,,1974,1037.96435546875
10,Africa,,1975,1101.12353515625
11,Africa,,1976,1194.635986328125
12,Africa,,1977,1255.098876953125
13,Africa,,1978,1307.366455078125
14,Africa,,1979,1427.0284423828125
15,Africa,,1980,1547.7098388671875
16,Africa,,1981,1748.1517333984375
17,Africa,,1982,1873.1365966796875
18,Africa,,1983,1949.0736083984373
19,Africa,,1984,2004.552734375
20,Africa,,1985,2073.1005859375
21,Africa,,1986,2107.220458984375
22,Africa,,1987,2193.772705078125
23,Africa,,1988,2334.87353515625
24,Africa,,1989,2331.018310546875
25,Africa,,1990,2418.7265625
26,Africa,,1991,2404.102783203125
27,Africa,,1992,2450.6259765625
28,Africa,,1993,2464.4345703125
29,Africa,,1994,2548.160400390625
30,Africa,,1995,2650.496337890625
31,Africa,,1996,2713.39111328125
32,Africa,,1997,2765.767822265625
33,Africa,,1998,2799.884521484375
34,Africa,,1999,2884.59033203125
35,Africa,,2000,2940.939208984375
36,Africa,,2001,3043.2265625
37,Africa,,2002,3084.193359375
38,Africa,,2003,3253.369873046875
39,Africa,,2004,3488.740966796875
40,Africa,,2005,3501.773193359375
41,Africa,,2006,3571.256103515625
42,Africa,,2007,3706.443603515625
43,Africa,,2008,3940.738037109375
44,Africa,,2009,4002.8388671875
45,Africa,,2010,4111.78662109375
46,Africa,,2011,4141.9970703125
47,Africa,,2012,4312.08740234375
48,Africa,,2013,4421.34765625
49,Africa,,2014,4529.45947265625
50,Africa,,2015,4643.54345703125
51,Africa,,2016,4767.708984375
52,Africa,,2017,4866.9013671875
53,Africa,,2018,4964.65234375
54,Africa,,2019,5043.08251953125
55,Africa,,2020,4704.92578125
56,Africa,,2021,4996.09765625
57,Africa (BP),,1965,674.3026733398438
58,Africa (BP),,1966,703.2786865234375
59,Africa (BP),,1967,708.9625244140625
60,Africa (BP),,1968,743.4017333984375
61,Africa (BP),,1969,756.0578002929688
62,Africa (BP),,1970,810.0494995117188
63,Africa (BP),,1971,874.9830322265625
64,Africa (BP),,1972,919.5540771484376
65,Africa (BP),,1973,998.1819458007812
66,Africa (BP),,1974,1037.96435546875
67,Africa (BP),,1975,1101.12353515625
68,Africa (BP),,1976,1194.635986328125
69,Africa (BP),,1977,1255.098876953125
70,Africa (BP),,1978,1307.366455078125
71,Africa (BP),,1979,1427.0284423828125
72,Africa (BP),,1980,1547.7098388671875
73,Africa (BP),,1981,1748.15185546875
74,Africa (BP),,1982,1873.1365966796875
75,Africa (BP),,1983,1949.073486328125
76,Africa (BP),,1984,2004.552734375
77,Africa (BP),,1985,2073.1005859375
78,Africa (BP),,1986,2107.220458984375
79,Africa (BP),,1987,2193.772705078125
80,Africa (BP),,1988,2334.87353515625
81,Africa (BP),,1989,2331.018310546875
82,Africa (BP),,1990,2418.7265625
83,Africa (BP),,1991,2404.102783203125
84,Africa (BP),,1992,2450.6259765625
85,Africa (BP),,1993,2464.4345703125
86,Africa (BP),,1994,2548.160400390625
87,Africa (BP),,1995,2650.496337890625
88,Africa (BP),,1996,2713.39111328125
89,Africa (BP),,1997,2765.767578125
90,Africa (BP),,1998,2799.88427734375
91,Africa (BP),,1999,2884.59033203125
92,Africa (BP),,2000,2940.939208984375
93,Africa (BP),,2001,3043.2265625
94,Africa (BP),,2002,3084.193359375
95,Africa (BP),,2003,3253.3701171875
96,Africa (BP),,2004,3488.74072265625
97,Africa (BP),,2005,3501.7734375
98,Africa (BP),,2006,3571.256103515625
99,Africa (BP),,2007,3706.443603515625
100,Africa (BP),,2008,3940.73779296875
101,Africa (BP),,2009,4002.8388671875
102,Africa (BP),,2010,4111.78662109375
103,Africa (BP),,2011,4141.9970703125
104,Africa (BP),,2012,4312.0869140625
105,Africa (BP),,2013,4421.34765625
106,Africa (BP),,2014,4529.45947265625
107,Africa (BP),,2015,4643.54345703125
108,Africa (BP),,2016,4767.708984375
109,Africa (BP),,2017,4866.9013671875
110,Africa (BP),,2018,4964.65234375
111,Africa (BP),,2019,5043.08251953125
112,Africa (BP),,2020,4704.92578125
113,Africa (BP),,2021,4996.09765625
114,Algeria,DZA,1965,23.649850845336918
115,Algeria,DZA,1966,28.782794952392575
116,Algeria,DZA,1967,27.03503799438477
117,Algeria,DZA,1968,28.68020248413086
118,Algeria,DZA,1969,32.471717834472656
119,Algeria,DZA,1970,35.043846130371094
120,Algeria,DZA,1971,38.75703811645508
121,Algeria,DZA,1972,43.18413925170898
122,Algeria,DZA,1973,51.02702331542969
123,Algeria,DZA,1974,57.43930816650391
124,Algeria,DZA,1975,69.39978790283203
125,Algeria,DZA,1976,80.95184326171875
126,Algeria,DZA,1977,89.41717529296875
127,Algeria,DZA,1978,112.62222290039062
128,Algeria,DZA,1979,147.67971801757812
129,Algeria,DZA,1980,176.38299560546875
130,Algeria,DZA,1981,214.1039123535156
131,Algeria,DZA,1982,246.6957092285156
132,Algeria,DZA,1983,270.2717590332031
133,Algeria,DZA,1984,258.859619140625
134,Algeria,DZA,1985,260.3863525390625
135,Algeria,DZA,1986,276.75128173828125
136,Algeria,DZA,1987,283.69256591796875
137,Algeria,DZA,1988,304.88067626953125
138,Algeria,DZA,1989,296.3999938964844
139,Algeria,DZA,1990,314.57452392578125
140,Algeria,DZA,1991,311.2286682128906
141,Algeria,DZA,1992,319.638427734375
142,Algeria,DZA,1993,296.9511413574219
143,Algeria,DZA,1994,301.43023681640625
144,Algeria,DZA,1995,312.5741271972656
145,Algeria,DZA,1996,309.5255126953125
146,Algeria,DZA,1997,297.63800048828125
147,Algeria,DZA,1998,307.7132263183594
148,Algeria,DZA,1999,310.8339233398437
149,Algeria,DZA,2000,299.78594970703125
150,Algeria,DZA,2001,310.6102294921875
151,Algeria,DZA,2002,321.7841491699219
152,Algeria,DZA,2003,336.153564453125
153,Algeria,DZA,2004,349.05450439453125
154,Algeria,DZA,2005,364.6814575195313
155,Algeria,DZA,2006,378.6008911132813
156,Algeria,DZA,2007,399.0007019042969
157,Algeria,DZA,2008,422.76165771484375
158,Algeria,DZA,2009,447.9042053222656
159,Algeria,DZA,2010,438.4894409179688
160,Algeria,DZA,2011,463.3955078125
161,Algeria,DZA,2012,506.531982421875
162,Algeria,DZA,2013,536.6290283203125
163,Algeria,DZA,2014,584.9251708984375
164,Algeria,DZA,2015,616.9202880859375
165,Algeria,DZA,2016,616.09619140625
166,Algeria,DZA,2017,622.2537841796875
167,Algeria,DZA,2018,669.4301147460938
168,Algeria,DZA,2019,692.8366088867188
169,Algeria,DZA,2020,652.4639892578125
170,Algeria,DZA,2021,682.7947998046875
171,Argentina,ARG,1965,324.896240234375
172,Argentina,ARG,1966,335.4955139160156
173,Argentina,ARG,1967,345.2636108398437
174,Argentina,ARG,1968,356.4012756347656
175,Argentina,ARG,1969,368.9255676269531
176,Argentina,ARG,1970,348.68902587890625
177,Argentina,ARG,1971,369.968017578125
178,Argentina,ARG,1972,374.74853515625
179,Argentina,ARG,1973,387.4430847167969
180,Argentina,ARG,1974,394.3475646972656
181,Argentina,ARG,1975,380.3053283691406
182,Argentina,ARG,1976,400.3521118164063
183,Argentina,ARG,1977,419.5299682617188
184,Argentina,ARG,1978,410.7586059570313
185,Argentina,ARG,1979,435.2419128417969
186,Argentina,ARG,1980,420.2517700195313
187,Argentina,ARG,1981,406.3126220703125
188,Argentina,ARG,1982,408.8196716308594
189,Argentina,ARG,1983,421.5851440429688
190,Argentina,ARG,1984,415.1765441894531
191,Argentina,ARG,1985,403.8170776367188
192,Argentina,ARG,1986,430.07080078125
193,Argentina,ARG,1987,448.33245849609375
194,Argentina,ARG,1988,478.7455749511719
195,Argentina,ARG,1989,467.7825012207031
196,Argentina,ARG,1990,439.5460815429688
197,Argentina,ARG,1991,451.96917724609375
198,Argentina,ARG,1992,482.11761474609375
199,Argentina,ARG,1993,485.2360229492188
200,Argentina,ARG,1994,504.37841796875
201,Argentina,ARG,1995,529.4221801757812
202,Argentina,ARG,1996,568.747802734375
203,Argentina,ARG,1997,558.965576171875
204,Argentina,ARG,1998,588.21923828125
205,Argentina,ARG,1999,611.5462646484375
206,Argentina,ARG,2000,595.377685546875
207,Argentina,ARG,2001,553.8021240234375
208,Argentina,ARG,2002,531.7772216796875
209,Argentina,ARG,2003,579.306396484375
210,Argentina,ARG,2004,632.2974853515625
211,Argentina,ARG,2005,670.6097412109375
212,Argentina,ARG,2006,697.7806396484375
213,Argentina,ARG,2007,755.2279052734375
214,Argentina,ARG,2008,766.4549560546875
215,Argentina,ARG,2009,731.0341796875
216,Argentina,ARG,2010,762.504150390625
217,Argentina,ARG,2011,793.0222778320312
218,Argentina,ARG,2012,831.567626953125
219,Argentina,ARG,2013,858.9996948242188
220,Argentina,ARG,2014,857.3570556640625
221,Argentina,ARG,2015,869.6484375
222,Argentina,ARG,2016,869.5829467773438
223,Argentina,ARG,2017,866.4227294921875
224,Argentina,ARG,2018,853.9412231445312
225,Argentina,ARG,2019,798.4356689453125
226,Argentina,ARG,2020,746.704833984375
227,Argentina,ARG,2021,818.2005615234375
228,Asia,,1965,4931.34423828125
229,Asia,,1966,5368.138671875
230,Asia,,1967,5671.92724609375
231,Asia,,1968,6107.16015625
232,Asia,,1969,6985.21044921875
233,Asia,,1970,7954.40966796875
234,Asia,,1971,8727.0
235,Asia,,1972,9286.29296875
236,Asia,,1973,10143.763671875
237,Asia,,1974,10291.66015625
238,Asia,,1975,10629.58203125
239,Asia,,1976,11240.6962890625
240,Asia,,1977,12061.8671875
241,Asia,,1978,12829.609375
242,Asia,,1979,13499.3896484375
243,Asia,,1980,13439.6787109375
244,Asia,,1981,13579.96484375
245,Asia,,1982,13846.435546875
246,Asia,,1983,14547.78125
247,Asia,,1984,15722.4716796875
248,Asia,,1985,18350.46875
249,Asia,,1986,19134.830078125
250,Asia,,1987,20168.525390625
251,Asia,,1988,21585.90625
252,Asia,,1989,22651.14453125
253,Asia,,1990,23516.61328125
254,Asia,,1991,24450.37890625
255,Asia,,1992,25617.267578125
256,Asia,,1993,26534.96484375
257,Asia,,1994,27969.78125
258,Asia,,1995,29065.166015625
259,Asia,,1996,30411.01953125
260,Asia,,1997,31292.388671875
261,Asia,,1998,31196.666015625
262,Asia,,1999,32323.1328125
263,Asia,,2000,33615.4453125
264,Asia,,2001,34747.9453125
265,Asia,,2002,36552.87890625
266,Asia,,2003,39780.01953125
267,Asia,,2004,43396.7109375
268,Asia,,2005,46756.41796875
269,Asia,,2006,49395.62890625
270,Asia,,2007,52638.2421875
271,Asia,,2008,54180.97265625
272,Asia,,2009,55469.3125
273,Asia,,2010,58819.38671875
274,Asia,,2011,62319.46875
275,Asia,,2012,64566.28515625
276,Asia,,2013,65907.2265625
277,Asia,,2014,67385.671875
278,Asia,,2015,68363.0859375
279,Asia,,2016,69516.9296875
280,Asia,,2017,71324.4921875
281,Asia,,2018,73420.65625
282,Asia,,2019,74479.2890625
283,Asia,,2020,72830.7578125
284,Asia,,2021,76744.6875
285,Asia Pacific (BP),,1965,4769.23095703125
286,Asia Pacific (BP),,1966,5196.57958984375
287,Asia Pacific (BP),,1967,5492.318359375
288,Asia Pacific (BP),,1968,5907.35302734375
289,Asia Pacific (BP),,1969,6759.12890625
290,Asia Pacific (BP),,1970,7725.74609375
291,Asia Pacific (BP),,1971,8453.04296875
292,Asia Pacific (BP),,1972,8971.0751953125
293,Asia Pacific (BP),,1973,9762.990234375
294,Asia Pacific (BP),,1974,9890.896484375
295,Asia Pacific (BP),,1975,10226.4580078125
296,Asia Pacific (BP),,1976,10731.4296875
297,Asia Pacific (BP),,1977,11425.767578125
298,Asia Pacific (BP),,1978,12136.521484375
299,Asia Pacific (BP),,1979,12631.8271484375
300,Asia Pacific (BP),,1980,12614.7275390625
301,Asia Pacific (BP),,1981,12641.3740234375
302,Asia Pacific (BP),,1982,12721.0537109375
303,Asia Pacific (BP),,1983,13206.966796875
304,Asia Pacific (BP),,1984,14149.1640625
305,Asia Pacific (BP),,1985,14742.9931640625
306,Asia Pacific (BP),,1986,15345.1630859375
307,Asia Pacific (BP),,1987,16190.953125
308,Asia Pacific (BP),,1988,17439.22265625
309,Asia Pacific (BP),,1989,18340.931640625
310,Asia Pacific (BP),,1990,19099.3046875
